year,stationID,ID,date,towtime,type,totalnum,juvnum,abundance,Latitude,Longitude,Temperature,Salinity,Depth,Distance_Offshore,Sediment,Sediment_Type,Distance_Sediment_Boundary
FL04,32,FL0432,10/21/04,18,F,110,26,28.88888889,43.75682,-69.64957,8.5,32.45,-56.22750473,0.021120037,sd/st/cl,7,0.008818395
FL12,56,FL1256,10/9/12,20,R,4,0,0,43.55857,-69.05077,10.4,33.93,-132.5899658,0.295435883,sd-st/cl,6,0.17816758
FL10,23,FL1023,10/12/10,20,R,1060,797,797,43.66185,-70.08118,12.5,32.34,-36.33624649,0.019109794,gr,1,0.012945412
FL09,58,FL0958,10/26/09,20,R,138,9,9,43.9222,-68.58328,10.2,32.95,-93.04936981,0.092731159,sd/st/cl,7,0.081617756
FL04,18,FL0418,10/17/04,20,F,76,28,28,43.42182,-70.29172,8.6,32.32,-56.96723175,0.048397865,sd,3,0.000979849
FL01,20,FL0120,10/1/01,20,F,326,218,218,43.4967,-70.2088,NA,NA,-62.88576508,0.046445898,sd,3,0.024944962
FL03,46,FL0346,11/3/03,20,R,18,0,0,43.91467,-68.5225,10,33.32,-91.13561249,0.123363522,sd/st/cl,7,0.051764948
FL04,50,FL0450,10/28/04,20,RA,1,0,0,43.52048,-69.07363,7.8,32.85,-126.3914795,0.336129623,sd-st/cl,6,0.178238072
FL11,48,FL1148,10/22/11,10,NA,53,12,24,43.77268,-68.72297,10.5,33.12,-105.8235703,0.111871618,sd/st/cl,7,0.051478905
FL07,69,FL0769,10/25/07,20,R,286,141,141,44.24065,-68.13213,10.1,32.89,-64.04483795,0.060616165,sd-cl/st,5,0.036964164
FL01,41,FL0141,10/9/01,21,F,2,0,0,44.2744,-68.8911,12,32.36,-31.19108963,0.012426948,sd-st/cl,6,0.012426952
FL12,91,FL1291,10/24/12,17,R,186,29,34.11764706,44.39757,-67.52565,12.3,33.58,-88.29164886,0.068888922,sd-cl/st,5,0.047399046
FL00,10,FL0010,11/3/00,20,NA,165,70,70,43.4209,-70.2942,9.8,32.8,-53.01092148,0.046440975,gr-sd,2,0.000970152
FL07,16,FL0716,10/4/07,20,F,7,0,0,43.39557,-70.12265,6.3,32.91,-106.3356628,0.178226908,cl-st/sd,4,0.004424206
FL06,85,FL0685,11/11/06,11,R,74,37,67.27272727,44.533,-67.35018,10.4,32.93,-42.27381134,0.038376253,sd-cl/st,5,0.028496298
FL08,40,FL0840,10/14/08,20,R,68,9,9,44.13732,-68.96527,11.5,32.17,-63.68077087,0.026019176,sd-st/cl,6,0.026019107
FL07,21,FL0721,10/5/07,21,NA,339,205,195.2380952,43.52492,-70.27298,13.4,32.6,-25.51465797,0.027543506,gr-sd,2,0.009836488
FL03,42,FL0342,11/2/03,20,F,40,0,0,43.90567,-68.63133,9.8,33.46,-92.98738861,0.101653691,sd/st/cl,7,0.074767169
FL00,72,FL0072,12/2/00,22,RA,54,16,14.54545455,44.4561,-67.382,9,32.75,-67.21916962,0.111950417,sd-cl/st,5,0.033312717
FL08,11,FL0811,10/2/08,20,F,32,6,6,43.14127,-70.39387,8.4,32.36,-84.39917755,0.08348047,sd,3,0.0200085
FL03,43,FL0343,11/2/03,20,NA,52,0,0,43.91517,-68.643,9.8,33.5,-95.46573639,0.091721738,sd/st/cl,7,0.061572635
FL09,85,FL0985,11/3/09,20,F,9,0,0,44.29198,-67.51308,9.8,33.37,-104.4365997,0.171507658,sd/st/cl,7,0.025161023
FL10,33,FL1033,10/14/10,20,RA,203,61,61,43.76557,-69.48083,10.1,33.37,-84.96414948,0.074320331,sd/st/cl,7,0.039580258
FL07,57,FL0757,10/19/07,13,R,19,4,6.153846154,44.15413,-68.79092,12.6,31.74,-14.80300999,0.007778515,gr-sd,2,0.005609394
FL12,9,FL129,9/25/12,17,R,108,38,44.70588235,42.91007,-70.64555,9.6,32.62,-58.20594025,0.06106305,sd,3,0.019904581
FL02,69,FL0269,11/14/02,20,F,34,0,0,44.30935,-67.67298,10.1,33.43,-80.12024689,0.131977414,sd-cl/st,5,0.098809886
FL07,49,FL0749,10/18/07,19,NA,28,1,1.052631579,43.77047,-68.78382,9.2,33.14,-98.07439423,0.070966465,sd/st/cl,7,0.068888479
FL09,55,FL0955,10/23/09,15,F,293,63,84,43.91453,-68.75512,10.4,32.99,-93.96173859,0.029235167,sd-st/cl,6,0.010519587
FL12,51,FL1251,10/9/12,15,R,4,1,1.333333333,44.2655,-68.78855,14,32.1,-22.24561119,0.016352245,sd-st/cl,6,0.016352289
FL08,78,FL0878,11/2/08,20,R,355,83,83,44.51248,-67.45008,9.9,32.75,-52.0162735,0.042475868,sd-cl/st,5,0.001589419
FL06,24,FL0624,10/9/06,20,R,19,4,4,43.5629,-69.94607,9.2,33.14,-99.40257263,0.154463622,sd-st/cl,6,0.019284916
FL09,87,FL0987,11/4/09,15,RA,154,102,136,44.48912,-67.78183,9.8,32.32,-16.49702835,0.010123751,sd,3,0.010123769
FL06,42,FL0642,10/16/06,20,R,920,397,397,43.88372,-69.2332,11.5,32.75,-59.90725327,0.024343858,cl-st/sd,4,0.018379253
FL00,66,FL0066,12/1/00,20,R,2,0,0,44.2711,-67.6418,8.9,32.68,-97.27709961,0.163679236,sd-cl/st,5,0.05771666
FL04,25,FL0425,10/19/04,20,NA,115,56,56,43.6337,-69.9248,9.1,32.44,-58.44881058,0.080914619,cl-st/sd,4,0.0295839
FL01,45,FL0145,10/10/01,19,NA,10,4,4.210526316,43.7826,-68.7055,8.9,33.1,-101.129631,0.106957742,sd/st/cl,7,0.052031528
FL08,48,FL0848,10/10/08,13,R,135,59,90.76923077,43.8908,-68.79355,10.8,32.66,-89.84385681,0.035753887,sd/st/cl,7,0.017109862
FL07,55,FL0755,10/19/07,20,RA,6,1,1,44.32597,-68.84528,11.7,32.3,-44.22402191,0.018111025,sd-st/cl,6,0.018111004
FL05,43,FL0543,11/2/05,20,R,135,34,34,44.2445,-68.4305,10.3,31.99,-17.58405113,0.01113873,sd-st/cl,6,0.011138839
FL06,63,FL0663,10/23/06,20,NA,41,3,3,43.95148,-68.55,10.6,33.28,-87.07919312,0.078630053,sd/st/cl,7,0.062274006
FL06,12,FL0612,10/4/06,20,R,29,4,4,43.12407,-70.37425,7.7,32.77,-98.009758,0.100670444,sd,3,0.000827971
FL12,16,FL1216,9/27/12,16,R,46,22,27.5,43.26135,-70.34547,9,32.86,-82.81632233,0.121830243,sd,3,0.009205526
FL10,11,FL1011,10/8/10,20,R,376,222,222,43.22188,-70.57015,14.1,32.13,-23.54535675,0.005441067,sd,3,0.005441064
FL02,71,FL0271,11/15/02,20,R,39,0,0,44.3476,-67.64103,10,33.29,-69.84080505,0.087409209,sd-cl/st,5,0.087409196
FL10,35,FL1035,10/14/10,20,F,7,1,1,43.68217,-69.5134,9.3,33.25,-113.1615601,0.097761403,sd/st/cl,7,0.097761267
FL07,66,FL0766,10/24/07,18,R,1,0,0,43.92447,-68.26067,7.9,32.05,-113.7368546,0.138510223,sd-st/cl,6,0.052400873
FL08,64,FL0864,10/24/08,20,R,146,32,32,44.44145,-68.16387,10.6,32.35,-35.82596588,0.016684002,sd-st/cl,6,0.016683909
FL12,22,FL1222,9/28/12,16,R,151,51,63.75,43.40652,-70.23827,8.9,33.03,-84.86083221,0.102893812,cl-st/sd,4,0.011834994
FL04,36,FL0436,10/22/04,18,R,431,301,334.4444444,43.85442,-69.52857,9.9,32.14,-28.33317184,0.009720406,sd-st/cl,6,0.009720467
FL03,64,FL0364,11/11/03,17,RA,102,26,30.58823529,44.42217,-67.7835,10.1,32.71,-42.09999847,0.043789441,sd-cl/st,5,0.021595405
FL01,9,FL019,9/26/01,20,F,24,7,7,43.1544,-70.3733,NA,NA,-84.55237579,0.106896439,cl-st/sd,4,0.003021164
FL02,40,FL0240,10/30/02,20,F,1,0,0,44.29128,-68.88178,11.2,32.4,-37.40499115,0.01103715,sd-st/cl,6,0.011037032
FL07,70,FL0770,10/25/07,20,F,296,77,77,44.29997,-68.13112,10.3,32.87,-61.40731049,0.05114347,sd-cl/st,5,0.000406447
FL12,90,FL1290,10/24/12,20,R,2,0,0,44.29033,-67.4152,9.5,34.56,-197.7159882,0.217333054,sd/st/cl,7,0.053099037
FL04,49,FL0449,10/28/04,20,F,1,0,0,43.62013,-68.9362,8.4,32.65,-126.9536667,0.180057469,sd-st/cl,6,0.084257954
FL04,61,FL0461,11/2/04,20,NA,17,0,0,44.04588,-68.2154,9.2,32.39,-96.21338654,0.100197235,sd-st/cl,6,0.008608852
FL11,28,FL1128,10/11/11,20,F,71,22,22,43.60178,-69.87282,9.6,32.79,-83.00610352,0.104175893,sd-st/cl,6,0.018746563
FL09,20,FL0920,10/8/09,20,RA,352,154,154,43.49023,-70.21178,9.2,32.67,-59.79883194,0.051240881,sd,3,0.031892633
FL06,8,FL068,10/3/06,20,R,1,0,0,43.01577,-70.38842,6.5,33,-115.118782,0.136080421,sd-st/cl,6,0.010058494
FL09,86,FL0986,11/3/09,20,NA,8,0,0,44.31402,-67.52567,10.1,33.01,-100.1359177,0.146491963,sd/st/cl,7,0.004580137
FL04,67,FL0467,11/7/04,17,RA,97,33,38.82352941,44.36408,-68.11352,9.2,32.24,-48.70461273,0.007845819,sd-st/cl,6,0.007845889
FL06,54,FL0654,10/19/06,20,NA,9,1,1,43.78502,-68.70427,10.4,33.35,-102.5242386,0.105133827,sd/st/cl,7,0.053475295
FL00,50,FL0050,11/22/00,25,R,48,4,3.2,44.2142,-68.4205,8.8,32.73,-28.05677605,0.023401582,gr-sd,2,0.011535417
FL02,49,FL0249,11/1/02,20,F,154,7,7,43.9127,-68.75435,10.8,33.25,-91.42871857,0.027293298,sd-st/cl,6,0.008704081
FL06,59,FL0659,10/20/06,18,R,141,57,63.33333333,44.11557,-68.76995,12.6,32.04,-38.35417938,0.026659434,sd-cl/st,5,0.004098237
FL02,67,FL0267,11/14/02,19,F,265,129,135.7894737,44.4658,-67.72768,8.6,32.98,-29.47977066,0.004833631,sd,3,0.004770231
FL05,29,FL0529,10/27/05,20,F,6,0,0,43.60583,-68.94417,10.5,32.99,-127.4999924,0.196406916,sd-st/cl,6,0.099605417
FL00,56,FL0056,11/28/00,20,R,7,0,0,44.3618,-68.1563,8.2,32.73,-51.22901154,0.018489353,gr-sd,2,0.010895508
FL03,25,FL0325,10/22/03,16,R,319,158,197.5,43.70833,-69.94633,9.8,32.83,-34.12054825,0.017646806,cl-st/sd,4,0.017646751
FL02,12,FL0212,10/18/02,20,R,99,74,74,43.54827,-70.28533,12.4,31.94,-12.53322029,0.007706349,gr-sd,2,0.007706393
FL06,18,FL0618,10/5/06,20,R,7,0,0,43.32837,-70.12405,8.2,32.97,-116.4482651,0.234904907,sd/st/cl,7,0.028533452
FL09,26,FL0926,10/13/09,19,R,320,169,177.8947368,43.70628,-70.17897,11.8,31.41,-17.62103653,0.012965894,sd-st/cl,6,0.01296587
FL03,11,FL0311,10/16/03,20,R,1,0,0,43.31167,-70.17617,6.4,32.95,-109.5958481,0.205123853,sd/st/cl,7,0.002166951
FL11,44,FL1144,10/19/11,16,NA,203,68,85,44.21682,-69.03928,13,31.4,-12.74811935,0.00378684,sd-st/cl,6,0.003786896
FL02,44,FL0244,10/31/02,13,R,1,0,0,43.61252,-68.93938,10.9,33.63,-126.3743896,0.188291443,sd-st/cl,6,0.092255273
FL11,9,FL119,10/6/11,19,RA,101,32,33.68421053,43.19208,-70.41248,10.9,32.16,-71.65079498,0.094379535,sd,3,0.006239685
FL11,41,FL1141,10/19/11,15,R,1088,244,325.3333333,44.10995,-69.01815,12.4,31.7,-65.16136169,0.03036229,sd-st/cl,6,0.030362216
FL03,12,FL0312,10/17/03,20,R,343,105,105,43.25683,-70.57633,10,31.57,-14.0287075,0.013835998,sd,3,0.013836064
FL12,98,FL1298,10/26/12,13,R,218,57,87.69230769,44.6972,-66.99487,12.5,33.29,-76.17279053,0.077392328,sd-cl/st,5,0.023685109
FL08,9,FL089,10/1/08,20,R,121,45,45,43.07835,-70.52085,9.2,32.45,-56.10397339,0.060383824,sd,3,0.006718265
FL12,34,FL1234,10/3/12,18,F,499,178,197.7777778,43.7007,-69.74785,12.7,32.76,-31.23624611,0.009490751,sd,3,0.005446975
FL06,3,FL063,10/2/06,20,R,18,9,9,42.88485,-70.68722,7.7,32.37,-55.70080948,0.103624168,gr-sd,2,9.89E-05
FL06,52,FL0652,10/18/06,20,R,16,0,0,44.17522,-68.93082,12.6,32.31,-63.39953613,0.021611313,sd-st/cl,6,0.021611302
FL00,18,FL0018,11/6/00,20,NA,3,1,1,43.725,-69.9106,10.2,32.51,-24.52792168,0.011516197,cl-st/sd,4,0.011516121
FL07,48,FL0748,10/17/07,13,RA,52,12,18.46153846,44.16955,-69.01648,11.4,30.76,-58.73396301,0.032407228,sd-st/cl,6,0.032407146
FL03,36,FL0336,10/31/03,17,NA,5,2,2.352941176,44.161,-68.7895,11.3,30.95,-20.15192795,0.014793672,gr-sd,2,0.004230576
FL07,2,FL072,10/1/07,20,F,253,111,111,42.93992,-70.7379,8.7,32.12,-32.79840851,0.039702197,gr,1,0.011202628
FL09,25,FL0925,10/12/09,20,R,37,13,13,43.59137,-69.94907,8.2,32.98,-89.403862,0.128742308,cl-st/sd,4,0.007168532
FL02,56,FL0256,11/5/02,20,RA,55,2,2,44.05087,-68.25907,10.6,33.51,-89.82946014,0.090930439,sd/st/cl,7,0.032525399
FL08,36,FL0836,10/13/08,20,R,150,78,78,43.77648,-69.18233,8.6,32.97,-85.80082703,0.096974932,sd/st/cl,7,0.047813007
FL00,20,FL0020,11/7/00,20,NA,106,8,8,43.6476,-69.8064,10.4,32.88,-37.79982376,0.060038185,sd,3,0.014936608
FL06,79,FL0679,11/7/06,20,RA,2,1,1,44.4779,-67.84865,9.9,32.69,-11.59000969,0.005952859,sd,3,0.005952864
FL09,64,FL0964,10/27/09,20,R,32,0,0,43.9426,-68.28512,9.9,33.25,-100.954422,0.157999468,sd-st/cl,6,0.024087468
FL05,35,FL0535,10/30/05,19,R,1243,535,563.1578947,44.0028,-68.8591,10.6,32.31,-51.16687393,0.022191557,sd/st/cl,7,0.006318913
FL10,32,FL1032,10/13/10,20,NA,87,12,12,43.62713,-69.71253,9.8,33.13,-87.67842102,0.088867857,sd/st/cl,7,0.05927319
FL09,79,FL0979,11/2/09,20,R,181,56,56,44.24632,-67.918,10.1,32.94,-67.97151947,0.13034493,sd-cl/st,5,0.113782161
FL12,62,FL1262,10/16/12,12,R,319,131,218.3333333,44.20958,-68.43847,13.3,32.7,-25.82094383,0.017066306,sd/st/cl,7,0.006600019
FL03,41,FL0341,11/2/03,20,R,41,5,5,43.8975,-68.66867,9.8,33.46,-93.39998627,0.063687854,sd/st/cl,7,0.041811912
FL01,33,FL0133,10/4/01,22,R,1,0,0,43.7344,-69.505,NA,NA,-106.4999619,0.078832848,sd/st/cl,7,0.068874584
FL08,27,FL0827,10/8/08,20,R,90,25,25,43.65918,-69.74447,9.3,32.64,-56.53561401,0.04663663,sd/st/cl,7,0.016847379
FL02,9,FL029,10/15/02,19,F,30,2,2.105263158,43.14283,-70.39293,9.3,32.98,-85.43218994,0.08477934,sd,3,0.019496681
FL10,28,FL1028,10/13/10,10,NA,132,107,214,43.76625,-69.69932,10.5,32.99,-52.69881058,0.024030222,sd-st/cl,6,0.01620325
FL07,17,FL0717,10/4/07,19,R,38,6,6.315789474,43.42645,-70.20578,7,32.76,-87.38079071,0.114383687,cl-st/sd,4,0.00013736
FL02,50,FL0250,11/4/02,20,R,59,2,2,43.93187,-68.5537,10.8,33.6,-89.51720428,0.09510168,sd/st/cl,7,0.079094644
FL01,48,FL0148,10/11/01,21,F,54,1,0.952380952,44.138,-68.7532,NA,NA,-54.60085678,0.028114007,sd-cl/st,5,0.028113841
FL07,54,FL0754,10/19/07,13,R,7,2,3.076923077,44.21033,-68.85875,11.6,32.28,-12.38515663,0.006370806,gr-sd,2,0.006370765
FL12,94,FL1294,10/25/12,15,R,234,93,124,44.52998,-67.29402,12.3,33.49,-66.9934845,0.06754378,sd-cl/st,5,0.05565448
FL12,12,FL1212,9/26/12,20,R,5,0,0,43.04543,-70.35823,7.5,33.02,-119.0971909,0.139039551,sd-st/cl,6,0.016859972
FL10,39,FL1039,10/18/10,15,R,304,174,232,43.77217,-69.18107,10.9,33.16,-88.64394379,0.100133562,sd/st/cl,7,0.043724527
FL12,32,FL1232,10/2/12,18,R,55,11,12.22222222,43.62593,-69.71113,10.1,33.06,-88.20481873,0.090608456,sd/st/cl,7,0.059542552
FL07,43,FL0743,10/16/07,20,R,1,0,0,43.63957,-69.13958,7.7,33.21,-138.8883514,0.206318094,sd-st/cl,6,0.082755956
FL11,72,FL1172,11/1/11,20,R,123,32,32,44.297,-67.76342,10.7,32.76,-74.90416718,0.121699849,sd-cl/st,5,0.087975102
FL08,77,FL0877,11/1/08,20,F,95,38,38,44.58925,-67.2961,NA,NA,-52.5591774,0.009714844,sd-cl/st,5,0.001237388
FL11,84,FL1184,11/4/11,20,RA,184,81,81,44.5188,-67.396,10.7,32.55,-68.68884277,0.050313626,sd-cl/st,5,0.020153478
FL12,83,FL1283,10/22/12,20,R,210,85,85,44.27013,-67.87585,12.2,33.67,-67.71360779,0.096104537,sd-cl/st,5,0.096104531
FL09,74,FL0974,10/29/09,20,R,630,397,397,44.31628,-68.1318,10.2,32.59,-60.50857544,0.03675612,gr-sd,2,0.004159922
FL03,74,FL0374,11/17/03,18,NA,121,29,32.22222222,44.66433,-67.13067,9.3,33.03,-77.19812775,0.022665275,sd-cl/st,5,0.005160556
FL02,72,FL0272,11/15/02,21,RA,84,8,7.619047619,44.42492,-67.44987,10,33.33,-75.64439392,0.092704513,sd-cl/st,5,0.031730674
FL12,99,FL1299,10/26/12,18,R,22,2,2.222222222,44.76717,-66.9747,12.4,33.24,-80.39929962,0.031916665,sd-cl/st,5,0.020290423
FL08,29,FL0829,10/8/08,15,R,439,238,317.3333333,43.74725,-69.69592,9.7,32.5,-57.75529861,0.023366782,sd/st/cl,7,0.003013895
FL12,44,FL1244,10/8/12,20,R,253,140,140,43.75562,-69.21,10.7,33.14,-90.65605164,0.091571976,sd/st/cl,7,0.041717025
FL03,70,FL0370,11/12/03,20,F,1,0,0,44.3345,-67.284,8.5,34.1,-143.9999847,0.246019573,sd/st/cl,7,0.11892285
FL08,58,FL0858,10/23/08,20,RA,41,4,4,44.06388,-68.12458,10.2,32.82,-99.47602081,0.094391442,sd-st/cl,6,0.024563355
FL02,73,FL0273,11/19/02,20,R,374,208,208,44.54098,-67.50233,9.3,33.01,-31.08081818,0.012805429,sd,3,0.012805419
FL05,4,FL054,10/11/05,19,NA,59,14,14.73684211,42.99,-70.64717,10.5,31.59,-22.98317909,0.021948816,gr,1,0.021948767
FL11,78,FL1178,11/3/11,16,R,86,3,3.75,44.32395,-67.49908,10.3,33,-98.53520966,0.147155935,sd/st/cl,7,0.02317539
FL00,17,FL0017,11/6/00,20,R,149,76,76,43.6487,-70.0962,10,32.47,-37.11984253,0.019768174,gr,1,0.019384648
FL12,6,FL126,9/25/12,20,R,18,3,3,42.98882,-70.45473,7.7,32.87,-96.36638641,0.133189066,sd-cl/st,5,0.025974522
FL07,14,FL0714,10/4/07,20,R,2,1,1,43.32462,-70.10482,6.1,33.16,-130.4139862,0.24735723,sd/st/cl,7,0.024135046
FL02,47,FL0247,11/1/02,20,R,16,0,0,43.87283,-68.59247,10.9,33.4,-100.4674149,0.139072534,sd/st/cl,7,0.056960223
FL08,20,FL0820,10/6/08,15,R,106,20,26.66666667,43.69512,-69.8969,10.4,32.41,-23.37176132,0.013460283,cl-st/sd,4,0.005875748
FL12,52,FL1252,10/9/12,16,R,4,1,1.25,44.29267,-68.7892,13.9,32.69,-4.940414429,0.007169061,sd-st/cl,6,0.007169021
FL12,53,FL1253,10/9/12,20,R,528,165,165,44.19147,-69.0299,14.1,32.46,-23.66299057,0.021458146,sd-st/cl,6,0.021458104
FL08,76,FL0876,11/1/08,20,NA,72,54,54,44.59938,-67.43645,9.7,32.31,-0.17439732,0.005574686,gr-sd,2,0.000339505
FL06,57,FL0657,10/19/06,15,R,72,16,21.33333333,43.83327,-68.73665,10.9,33.19,-98.43264008,0.049826455,sd/st/cl,7,0.049826479
FL03,63,FL0363,11/10/03,20,R,1,0,0,44.20483,-67.72867,9.3,33.81,-128.5796356,0.210206046,sd-st/cl,6,0.010181614
FL09,50,FL0950,10/22/09,20,NA,38,3,3,43.77767,-68.7155,10.5,32.96,-101.5510101,0.108678605,sd/st/cl,7,0.052391473
FL07,10,FL0710,10/3/07,20,F,18,5,5,43.15293,-70.3804,6.5,32.7,-87.22957611,0.099695152,sd,3,0.003441213
FL01,61,FL0161,10/19/01,21,F,137,43,40.95238095,44.2993,-68.1255,10.5,32.71,-61.11038971,0.054744902,sd-cl/st,5,0.005645201
FL10,67,FL1067,10/28/10,20,R,398,224,224,44.13347,-68.13308,11.1,33.18,-82.50189972,0.110703585,gr-sd,2,0.005950268
FL03,34,FL0334,10/31/03,20,R,118,55,55,44.1165,-68.7805,11,31.61,-25.1920433,0.021600851,gr-sd,2,0.005039394
FL07,52,FL0752,10/18/07,20,RA,83,14,14,43.94707,-68.60172,9.5,33.05,-89.74530792,0.064442869,sd/st/cl,7,0.05543153
FL00,48,FL0048,11/21/00,19,R,16,2,2.105263158,44.0436,-68.3214,9.7,32.81,-83.87827301,0.060018591,sd/st/cl,7,0.060018661
FL09,60,FL0960,10/26/09,20,NA,18,1,1,43.91987,-68.40627,10.3,33.09,-110.2231369,0.180521401,sd/st/cl,7,0.003942472
FL12,54,FL1254,10/9/12,16,NA,90,17,21.25,43.72227,-69.09505,11,33.61,-96.38673401,0.143230189,sd-st/cl,6,0.014768816
FL03,4,FL034,10/13/03,20,F,2,0,0,42.95517,-70.47967,6.2,32.75,-94.6319046,0.121966639,sd-cl/st,5,0.018943934
FL03,72,FL0372,11/17/03,20,NA,46,13,13,44.69817,-66.99517,9.3,32.95,-75.38761139,0.076382066,sd-cl/st,5,0.024632031
FL09,39,FL0939,10/15/09,20,R,2,0,0,43.57193,-69.63093,7.2,33.21,-123.2724152,0.179672808,sd/st/cl,7,0.045808337
FL01,21,FL0121,10/2/01,21,R,14,1,0.952380952,43.5904,-69.9334,NA,NA,-87.67597961,0.124269402,sd-st/cl,6,0.001325222
FL12,2,FL122,9/24/12,16,R,9,8,10,42.91283,-70.79753,14,32.34,-5.849608421,0.004751809,gr-sd,2,0.004751823
FL05,12,FL0512,10/17/05,20,R,426,189,189,43.511,-70.192,8.7,32.59,-61.5320015,0.046237622,sd,3,0.010431273
FL08,14,FL0814,10/4/08,20,F,171,68,68,43.41978,-70.29168,8.5,32.47,-57.0136261,0.049198298,gr-sd,2,0.000817286
FL07,11,FL0711,10/3/07,20,RA,3,0,0,43.15472,-70.26917,7.2,32.74,-120.8006592,0.208436211,sd-st/cl,6,0.002994899
FL08,16,FL0816,10/4/08,13,RA,247,186,286.1538462,43.55147,-70.28497,11.5,32.75,-7.083921909,0.005064957,gr-sd,2,0.005064968
FL06,14,FL0614,10/4/06,15,NA,137,76,101.3333333,43.20573,-70.54943,9.9,32.24,-30.24283218,0.029519615,sd,3,0.007031969
FL06,34,FL0634,10/13/06,18,RA,152,82,91.11111111,43.701,-69.70307,12,32.46,-64.66641235,0.042911036,sd/st/cl,7,0.035724926
FL12,85,FL1285,10/23/12,20,R,7,0,0,44.27263,-67.57628,10.5,34.34,-113.9859238,0.170299974,sd-cl/st,5,0.021454003
FL07,78,FL0778,10/29/07,20,R,45,3,3,44.25547,-67.8197,9.3,32.83,-77.53079224,0.118851805,sd-cl/st,5,0.088954674
FL05,53,FL0553,11/11/05,20,NA,127,22,22,44.58967,-67.29283,NA,NA,-50.94709396,0.009204736,sd-cl/st,5,0.002309351
FL08,33,FL0833,10/10/08,20,R,25,7,7,43.7385,-69.41063,8.3,33.12,-92.37593079,0.086015181,sd/st/cl,7,0.071178397
FL08,5,FL085,10/1/08,20,R,1,0,0,42.89238,-70.43755,6.7,32.44,-130.5067291,0.17813051,sd-st/cl,6,0.013594681
FL02,14,FL0214,10/18/02,20,F,118,39,39,43.41872,-70.27908,11.7,32.82,-68.40240479,0.061326471,sd,3,0.006143851
FL06,5,FL065,10/3/06,20,R,20,0,0,42.94353,-70.51412,7.4,32.55,-82.86802673,0.089290574,sd-cl/st,5,0.009894785
