,UniqueTowID,Survey,TowNum,Region,Stratum,Grid_ID,Common_name,Scientific_name,NumberCaught,catch_sum,Weight,weight_sum,Catch_Weight_Type,Catch_Weight_Unit,Subsample_Weight,Male_weights,female_weights,station_code,Start_Date,End_Date,start_lat,start_lon,end_lat,end_lon,start_depth,end_depth,avg_depth,Tow_Time,Tow_LengthNM,Catch_seq,Tow_Time_Exp,Std_dur,EXP_Catch,EXP_Weight,Year,Water_Temp_DegC,Salinity_psu
708,945943,SP06,47,2,2,59,lobster american,Homarus americanus,196,196,45.12,45.12,WH,KG,0,19.57,25.55,R,5/15/2006 4:00:00,5/15/2006 4:00:00,43.8379,-69.40628,43.85133,-69.4105,31,30.1,30.55,20,0.826,3318035,1,20,196,45.12,2006,6.6,31.78
709,945944,SP06,48,3,3,589,lobster american,Homarus americanus,21,21,7.36,7.36,WH,KG,0,3.62,3.74,NR,5/15/2006 4:00:00,5/15/2006 4:00:00,43.75388,-69.21387,43.74132,-69.21,50.1,53,51.55,20,0.772,3318844,1,20,21,7.36,2006,6.4,32.15
710,945945,SP06,49,3,3,545,lobster american,Homarus americanus,30,30,16.16,16.16,WH,KG,0,9.08,7.08,R,5/15/2006 4:00:00,5/15/2006 4:00:00,43.77843,-69.15082,43.7654,-69.1557,45.1,51.1,48.1,20,0.81,3318856,1,20,30,16.16,2006,6.6,32.21
711,945947,SP06,51,3,1,289,lobster american,Homarus americanus,1139,1139,198.06,198.06,WH,KG,0,126.46,71.6,R,5/15/2006 4:00:00,5/15/2006 4:00:00,43.94097,-69.16333,43.93285,-69.17802,19.7,21.2,20.45,20,0.8,3318045,1,20,1139,198.06,2006,6.9,31.73
712,945948,SP06,52,3,2,168,lobster american,Homarus americanus,87,87,29.38,29.38,WH,KG,0,18.7,10.68,R,5/16/2006 4:00:00,5/16/2006 4:00:00,44.05892,-69.01938,44.04608,-69.01928,35.2,38,36.6,19,0.77,3318879,1.052631579,20,91.57894737,30.92631579,2006,6.1,31.79
713,945949,SP06,53,3,2,126,lobster american,Homarus americanus,103,103,32.06,32.06,WH,KG,0,21.02,11.04,R,5/16/2006 4:00:00,5/16/2006 4:00:00,44.12742,-69.01672,44.11438,-69.02125,33,31.1,32.05,20,0.806,3318883,1,20,103,32.06,2006,5.7,31.68
714,945951,SP06,54,3,1,75,lobster american,Homarus americanus,27,27,6.99,6.99,WH,KG,0,3.9,3.09,R,5/16/2006 4:00:00,5/16/2006 4:00:00,44.20617,-69.0242,44.19557,-69.02857,13.2,12.2,12.7,17,0.664,3318853,1.176470588,20,31.76470588,8.223529412,2006,6.5,31.43
715,945952,SP06,55,3,2,92,lobster american,Homarus americanus,11,11,3.38,3.38,WH,KG,0,2.4,0.98,R,5/16/2006 4:00:00,5/16/2006 4:00:00,44.1766,-68.94087,44.16558,-68.95137,29.3,28.6,28.95,20,0.801,3318835,1,20,11,3.38,2006,6.4,31.78
716,945953,SP06,56,3,1,67,lobster american,Homarus americanus,2,2,0.81,0.81,WH,KG,0,0.81,#N/A,R,5/16/2006 4:00:00,5/16/2006 4:00:00,44.20352,-68.94645,44.21502,-68.935,12,15,17,20,0.848,3318936,1,20,2,0.81,2006,6.8,31.55
717,945954,SP06,57,3,2,31,lobster american,Homarus americanus,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,R,5/16/2006 4:00:00,5/16/2006 4:00:00,44.2574,-68.89477,44.27095,-68.88918,23,24.4,23.7,20,0.848,#N/A,1,20,0,0,2006,6.2,31.67
718,945955,SP06,58,3,3,561,lobster american,Homarus americanus,4,4,1.48,1.48,WH,KG,0,1.34,0.14,NR,5/17/2006 4:00:00,5/17/2006 4:00:00,43.76772,-68.7844,43.7806,-68.78335,54.8,50.5,54.65,18,0.774,3318950,1.111111111,20,4.444444444,1.644444444,2006,6.4,32.17
719,945956,SP06,59,3,4,805,lobster american,Homarus americanus,1,1,0.65,0.65,WH,KG,0,#N/A,0.65,R,5/17/2006 4:00:00,5/17/2006 4:00:00,43.65187,-68.75542,43.66202,-68.7451,88.4,79.9,84.15,19,0.757,3318934,1.052631579,20,1.052631579,0.684210526,2006,5.8,32.61
720,945957,SP06,60,3,4,787,lobster american,Homarus americanus,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,RA,5/17/2006 4:00:00,5/17/2006 4:00:00,43.67828,-68.7432,43.69043,-68.742833,69.5,70.7,70.1,18,0.731,#N/A,1.111111111,20,0,0,2006,5.8,32.59
721,945958,SP06,61,3,4,673,lobster american,Homarus americanus,3,3,3,3,WH,KG,0,#N/A,3,RA,5/17/2006 4:00:00,5/17/2006 4:00:00,43.68112,-68.85435,43.69003,-68.8414,61.1,65.2,63.15,20,0.777,3318947,1,20,3,3,2006,5.8,32.46
722,945959,SP06,62,3,3,539,lobster american,Homarus americanus,4,4,4.08,4.08,WH,KG,0,0.26,3.82,NR,5/18/2006 4:00:00,5/18/2006 4:00:00,43.7839,-68.70683,43.79197,-68.69192,57.4,56,56.7,20,0.808,3318955,1,20,4,4.08,2006,5.9,32.31
723,945960,SP06,63,3,4,743,lobster american,Homarus americanus,3,3,7.32,7.32,WH,KG,0,7.32,#N/A,R,5/18/2006 4:00:00,5/18/2006 4:00:00,43.82395,-68.56152,43.81652,-68.57648,67.3,67.6,67.45,20,0.788,3318949,1,20,3,7.32,2006,5.8,32.53
724,945961,SP06,64,3,3,416,lobster american,Homarus americanus,6,6,3.6,3.6,WH,KG,0,1.79,1.81,NR,5/18/2006 4:00:00,5/18/2006 4:00:00,43.86165,-68.61,43.87013,-68.5953,59,57.7,58.35,21,0.815,3318958,0.952380952,20,5.714285714,3.428571429,2006,5.9,32.3
725,945963,SP06,66,3,3,235,lobster american,Homarus americanus,64,64,17.36,17.36,WH,KG,0,10.12,7.24,RA,5/18/2006 4:00:00,5/18/2006 4:00:00,43.98772,-68.74067,43.98635,-68.75835,41.6,37.5,39.55,20,0.769,3318874,1,20,64,17.36,2006,6.8,31.88
726,945964,SP06,67,3,1,143,lobster american,Homarus americanus,97,97,22.64,22.64,WH,KG,0,13.44,9.2,NR,5/19/2006 4:00:00,5/19/2006 4:00:00,44.117567,-68.7805,44.1115,-68.77937,12.3,12,12.15,10,0.638,3318881,2,20,194,45.28,2006,7.9,31.61
727,945967,SP06,70,4,2,427,lobster american,Homarus americanus,93,93,26.42,26.42,WH,KG,0,16.86,9.56,R,5/22/2006 4:00:00,5/22/2006 4:00:00,44.06368,-68.4022,44.05423,-68.38935,30.3,37,33.65,20,0.794,3318880,1,20,93,26.42,2006,6.4,31.82
728,945968,SP06,71,4,3,452,lobster american,Homarus americanus,32,32,9.22,9.22,WH,KG,0,4.08,5.14,R,5/22/2006 4:00:00,5/22/2006 4:00:00,44.03855,-68.4057,44.03808,-68.42452,40,39.8,39.9,20,0.814,3318858,1,20,32,9.22,2006,6.3,31.84
729,945969,SP06,72,4,4,678,lobster american,Homarus americanus,4,4,2.68,2.68,WH,KG,0,0.66,2.02,R,5/23/2006 4:00:00,5/23/2006 4:00:00,43.90623,-68.45105,43.8985,-68.46682,64.4,60.5,62.45,20,0.826,3318954,1,20,4,2.68,2006,5.9,32.58
730,945970,SP06,73,4,4,664,lobster american,Homarus americanus,7,7,4.86,4.86,WH,KG,0,0.8,4.06,R,5/23/2006 4:00:00,5/23/2006 4:00:00,43.91997,-68.40468,43.91115,-68.42012,61.9,61.2,61.55,20,0.853,3318833,1,20,7,4.86,2006,5.9,32.57
731,945971,SP06,74,4,3,544,lobster american,Homarus americanus,1,1,5.76,5.76,WH,KG,0,5.76,#N/A,NR,5/23/2006 4:00:00,5/23/2006 4:00:00,43.9509,-68.4029333,43.94103,-68.41701666,51.4,51.3,51.35,20,0.86,3318935,1,20,1,5.76,2006,6,32.34
732,945972,SP06,75,4,4,648,lobster american,Homarus americanus,2,2,2.28,2.28,WH,KG,0,1.5,0.78,NR,5/23/2006 4:00:00,5/23/2006 4:00:00,43.95378,-68.2801,43.94118,-68.28677,57.1,54.5,55.8,20,0.81,3318940,1,20,2,2.28,2006,6,32.44
733,945973,SP06,76,4,4,649,lobster american,Homarus americanus,2,2,1.8,1.8,WH,KG,0,#N/A,1.8,R,5/23/2006 4:00:00,5/23/2006 4:00:00,43.96013,-68.233,43.95312,-68.24897,58.7,60,59.35,20,0.809,3318938,1,20,2,1.8,2006,6.2,32.75
734,945974,SP06,77,4,3,483,lobster american,Homarus americanus,4,4,2.16,2.16,WH,KG,0,0.54,1.62,R,5/23/2006 4:00:00,5/23/2006 4:00:00,44.01565,-68.19485,44.02282,-68.21025,54.2,56.5,55.35,20,0.793,3318952,1,20,4,2.16,2006,6.1,32.16
735,945975,SP06,78,4,1,29,lobster american,Homarus americanus,1,1,0.15,0.15,WH,KG,0,#N/A,0.15,R,5/24/2006 4:00:00,5/24/2006 4:00:00,44.36527,-68.54137,44.37873,-68.54382,14.7,13.4,14.05,20,0.814,3318931,1,20,1,0.15,2006,7.6,31.58
736,945976,SP06,79,4,1,69,lobster american,Homarus americanus,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,R,5/24/2006 4:00:00,5/24/2006 4:00:00,44.31998,-68.55827,44.3067,-68.55365,14.5,12.5,13.5,20,0.821,#N/A,1,20,0,0,2006,7.9,31.81
737,945977,SP06,80,4,2,103,lobster american,Homarus americanus,23,23,7.84,7.84,WH,KG,0,4,3.84,R,5/24/2006 4:00:00,5/24/2006 4:00:00,44.27717,-68.46958,44.27023,-68.45178,21.5,31.4,26.45,20,0.872,3318851,1,20,23,7.84,2006,8.1,31.7
738,945978,SP06,81,4,1,179,lobster american,Homarus americanus,548,548,149.1,149.1,WH,KG,0,73.62,75.48,R,5/24/2006 4:00:00,5/24/2006 4:00:00,44.20712,-68.30522,44.19823,-68.29075,15.6,20,17.8,20,0.821,3318043,1,20,548,149.1,2006,7.7,31.69
739,945980,SP06,83,4,3,212,lobster american,Homarus americanus,65,65,14.16,14.16,WH,KG,0,6.9,7.26,R,5/25/2006 4:00:00,5/25/2006 4:00:00,44.18363,-68.09707,44.18265,-68.07795,42.2,43.2,42.7,20,0.826,3318875,1,20,65,14.16,2006,6.2,31.96
740,945981,SP06,84,4,3,192,lobster american,Homarus americanus,19,19,10.64,10.64,WH,KG,0,8,2.64,R,5/25/2006 4:00:00,5/25/2006 4:00:00,44.20262,-68.01905,44.19572,-68.00273,45.2,45.8,45.5,20,0.816,3318840,1,20,19,10.64,2006,6.1,32.39
741,945982,SP06,85,4,3,270,lobster american,Homarus americanus,5,5,3.36,3.36,WH,KG,0,3.36,#N/A,R,5/25/2006 4:00:00,5/25/2006 4:00:00,44.16428,-67.95025,44.15567,-67.96592,48.2,47.5,48.2,20,0.85,3318957,1,20,5,3.36,2006,6.1,32.5
742,945983,SP06,86,4,3,384,lobster american,Homarus americanus,3,3,2.98,2.98,WH,KG,0,2.44,0.54,R,5/25/2006 4:00:00,5/25/2006 4:00:00,44.0829,-68.03278,44.0897,-68.04747,54.3,54.1,54.2,20,0.754,3318946,1,20,3,2.98,2006,6.1,32.63
743,945985,SP06,88,4,1,2,lobster american,Homarus americanus,23,23,6.44,6.44,WH,KG,0,4.62,1.82,R,5/26/2006 4:00:00,5/26/2006 4:00:00,44.46425,-68.20633,44.45488,-68.2209,11.5,14.8,13.15,20,0.84,3318849,1,20,23,6.44,2006,7.5,31.71
744,945986,SP06,89,4,2,8,lobster american,Homarus americanus,34,34,9.81,9.81,WH,KG,0,5.35,4.46,R,5/26/2006 4:00:00,5/26/2006 4:00:00,44.42592,-68.15393,44.43562,-68.16742,26,22.5,24.25,20,0.821,3318862,1,20,34,9.81,2006,7.2,31.66
745,945987,SP06,90,4,2,82,lobster american,Homarus americanus,81,81,19.42,19.42,WH,KG,0,8.66,10.76,R,5/26/2006 4:00:00,5/26/2006 4:00:00,44.29415,-68.05065,44.30162,-68.06187,35.7,33.9,34.8,17,0.659,3318877,1.176470588,20,95.29411765,22.84705882,2006,6.5,31.77
746,945989,SP06,92,5,2,592,lobster american,Homarus americanus,42,42,10.14,10.14,WH,KG,0,4.02,6.12,R,5/29/2006 4:00:00,5/29/2006 4:00:00,44.26843,-67.94797,44.26052,-67.96307,33.7,34.2,33.95,20,0.806,3318864,1,20,42,10.14,2006,6.6,31.93
747,945990,SP06,93,5,2,614,lobster american,Homarus americanus,32,32,15.22,15.22,WH,KG,0,9.68,5.54,RA,5/29/2006 4:00:00,5/29/2006 4:00:00,44.2313,-67.94598,44.23607,-67.9326,40.2,40.2,40.2,17,0.642,3318860,1.176470588,20,37.64705882,17.90588235,2006,6.3,32.18
748,945991,SP06,94,5,2,515,lobster american,Homarus americanus,56,56,26.8,26.8,WH,KG,0,13.1,13.7,R,5/29/2006 4:00:00,5/29/2006 4:00:00,44.33832,-67.74518,44.32963,-67.75975,37.7,38.2,37.95,20,0.814,3318867,1,20,56,26.8,2006,6.5,32.07
749,945992,SP06,95,5,2,400,lobster american,Homarus americanus,273,273,67.56,67.56,WH,KG,0,32.7,34.86,RA,5/29/2006 4:00:00,5/29/2006 4:00:00,44.4091,-67.68633,44.39612,-67.6922,26.5,27.8,27.15,20,0.819,3318038,1,20,273,67.56,2006,6.7,31.89
750,945993,SP06,96,5,4,733,lobster american,Homarus americanus,1,1,0.4,0.4,WH,KG,0,0.4,#N/A,R,5/30/2006 4:00:00,5/30/2006 4:00:00,44.2189333,-67.72002,44.2308333,-67.7119,68.3,71.7,70,20,0.795,3318932,1,20,1,0.4,2006,6.7,32.27
751,945994,SP06,97,5,4,708,lobster american,Homarus americanus,6,6,3.96,3.96,WH,KG,0,2.82,1.14,RA,5/30/2006 4:00:00,5/30/2006 4:00:00,44.23607,-67.66505,44.2496,-67.65517,56.5,52.4,54.45,20,0.812,3318832,1,20,6,3.96,2006,6.3,32.45
752,945997,SP06,99,5,4,678,lobster american,Homarus americanus,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,RA,5/30/2006 4:00:00,5/30/2006 4:00:00,44.3134,-67.37813,44.32333,-67.3663,102.5,94.2,98.35,20,0.783,#N/A,1,20,0,0,2006,7.7,34.08
753,945998,SP06,100,5,1,261,lobster american,Homarus americanus,392,392,102.1,102.1,WH,KG,0,50.06,52.04,R,5/31/2006 4:00:00,5/31/2006 4:00:00,44.46857,-67.797,44.46147,-67.78698,13.7,18.1,15.9,16,0.606,3318041,1.25,20,490,127.625,2006,7.2,31.85
754,946001,SP06,103,5,1,60,lobster american,Homarus americanus,36,36,16.52,16.52,WH,KG,0,11.38,5.14,R,6/3/2006 4:00:00,6/3/2006 4:00:00,44.65067,-67.18023,44.65838,-67.16313,19.1,24.3,21.7,20,0.866,3318863,1,20,36,16.52,2006,7,31.71
755,946002,SP06,104,5,3,53,lobster american,Homarus americanus,12,12,6.54,6.54,WH,KG,0,5.08,1.46,R,6/3/2006 4:00:00,6/3/2006 4:00:00,44.66788,-67.11013,44.67477,-67.09437,43.8,43.4,43.6,18,0.791,3318836,1.111111111,20,13.33333333,7.266666667,2006,6.9,31.71
756,946004,SP06,106,5,3,32,lobster american,Homarus americanus,20,20,6.76,6.76,WH,KG,0,2.08,4.68,R,6/3/2006 4:00:00,6/3/2006 4:00:00,44.71942,-66.98062,44.73053,-66.97215,48,47.1,47.55,20,0.758,3318842,1,20,20,6.76,2006,6.8,31.71
757,946005,SP06,107,5,3,225,lobster american,Homarus americanus,22,22,6.8,6.8,WH,KG,0,3.96,2.84,R,6/5/2006 4:00:00,6/5/2006 4:00:00,44.48987,-67.28043,44.48122,-67.29582,45.2,42.6,43.9,20,0.84,3318847,1,20,22,6.8,2006,7,31.99
758,946006,SP06,108,5,3,388,lobster american,Homarus americanus,2,2,2.12,2.12,WH,KG,0,#N/A,2.12,NR,6/5/2006 4:00:00,6/5/2006 4:00:00,44.39675,-67.09972,44.40197,-67.08142,75.3,69.4,72.35,20,0.846,3318939,1,20,2,2.12,2006,6.8,32.39
