"","X","UniqueTowID","Survey","TowNum","Region","Stratum","Grid_ID","Common_name","Scientific_name","NumberCaught","catch_sum","Weight","weight_sum","Catch_Weight_Type","Catch_Weight_Unit","Subsample_Weight","Male_weights","female_weights","station_code","Start_Date","End_Date","start_lat","start_lon","end_lat","end_lon","start_depth","end_depth","avg_depth","Tow_Time","Tow_LengthNM","Catch_seq","Tow_Time_Exp","Std_dur","EXP_Catch","EXP_Weight","Year","Water_Temp_DegC","Salinity_psu"
"2119",2788,3809283,"FL16",81,5,1,206,"lobster american","Homarus americanus",1083,1084,144.5,145.19,"WH","KG","#N/A","75.68","68.82","NR","10/29/2016 4:00:00","10/29/2016 4:00:00",44.51877,-67.52235,44.52648,-67.53112,13.7,11.2,"#N/A",15,0.6302,"7254356",1.333333333,20,1444,192.6666667,2016,11.2,32.9
"2224",2893,3938674,"SP17",69,3,3,382,"lobster american","Homarus americanus",279,280,52.87,53.99,"WH","KG","#N/A","28.52","24.35","R","5/18/2017 4:00:00","5/18/2017 4:00:00",43.8855,-68.68558,43.89452,-68.67072,52.5,51.4,"#N/A",20,0.86,"7372408",1,20,279,52.87,2017,5.2,31.8
"2336",3005,4038036,"FL17",32,2,1,336,"lobster american","Homarus americanus",302,304,72.54,72.99,"WH","KG","#N/A","31.11","41.43","RA","10/10/2017 4:00:00","10/10/2017 4:00:00",43.68803,-69.89592,43.69912,-69.8887,14.6,12.4,"#N/A",20,0.74,"7452962",1,20,302,72.54,2017,10.7,32.51
"2365",3034,4038061,"FL17",57,3,1,185,"lobster american","Homarus americanus",692,696,135.57,137.03,"WH","KG","#N/A","71.42","64.15","R","10/17/2017 4:00:00","10/17/2017 4:00:00",44.067,-69.03622,44.07583,-69.02868,16.6,22.5,"#N/A",15,0.62,"7477400",1.333333333,20,922.6666667,180.76,2017,13.2,32.07
"2382",3051,4038074,"FL17",70,4,3,610,"lobster american","Homarus americanus",283,284,78.09,78.65,"WH","KG","#N/A","34.53","43.56","R","10/23/2017 4:00:00","10/23/2017 4:00:00",43.93328,-68.55513,43.94603,-68.55552,50.1,49.7,"#N/A",19,0.76,"7459061",1.052631579,20,297.8947368,82.2,2017,11.8,28.75
"2403",3072,4038089,"FL17",85,5,2,608,"lobster american","Homarus americanus",238,239,55.68,56.49,"WH","KG","#N/A","26.84","28.84","R","11/1/2017 4:00:00","11/1/2017 4:00:00",44.2884,-67.80312,44.28005,-67.8191,39.2,39.6,"#N/A",20,0.85,"7462890",1,20,238,55.68,2017,11.9,32.87
"2498",3167,4130260,"SP18",52,3,2,176,"lobster american","Homarus americanus",801,802,175.22,175.51,"WH","KG","#N/A","95.93","79.29","R","5/14/2018 4:00:00","5/14/2018 4:00:00",44.08913,-69.02687,44.09838,-69.02143,34.8,35.4,"#N/A",15,0.6,"7583897",1.333333333,20,1068,233.6266667,2018,5.1,31.5
"2609",3278,4229750,"FL18",75,4,2,88,"lobster american","Homarus americanus",641,642,112.46,112.96,"WH","KG","#N/A","47.1","65.36","NR","10/26/2018 4:00:00","10/26/2018 4:00:00",44.29458,-68.05443,44.30152,-68.06915,34.3,34.4,"#N/A",20,0.76,"7706667",1,20,641,112.46,2018,11.2,32.76
"2611",3280,4229751,"FL18",76,4,2,121,"lobster american","Homarus americanus",514,515,78.93,79.64,"WH","KG","#N/A","39.33","39.6","R","10/26/2018 4:00:00","10/26/2018 4:00:00",44.2591,-68.10093,44.27047,-68.1017,36,37.4,"#N/A",17,0.72,"7706683",1.176470588,20,604.7058824,92.85882353,2018,11.3,32.99
"2637",3306,4229768,"FL18",93,5,3,202,"lobster american","Homarus americanus",330,333,75.06,78.87,"WH","KG","#N/A","33.66","41.4","R","11/1/2018 4:00:00","11/1/2018 4:00:00",44.52727,-67.29885,44.53503,-67.28427,35.6,46.5,"#N/A",20,0.82,"7773005",1,20,330,75.06,2018,11,33.01
